Query,Score,Title
Female,0.6,Flight Attendant
Female,0.59,High School Teacher
Female,0.59,Actuary
Female,0.58,Veterinarian
Female,0.58,Editor
Female,0.58,Judge
Female,0.58,Librarian
Female,0.58,Cashier
Female,0.58,Psychologist
Female,0.58,Office Receptionist
Female,0.58,General Practitioner
Female,0.58,Product Manager
Female,0.57,Social Worker
Female,0.57,Statistician
Female,0.57,Chef
Female,0.57,Elementary School Teacher
Female,0.57,Attorney
Female,0.57,Journalist
Female,0.57,Copywriter
Female,0.57,Dental Hygienist
Female,0.57,Recruiter
Female,0.57,Mathematician
Female,0.57,Registered Nurse
Female,0.57,Pharmacist
Female,0.57,UX Designer
Female,0.57,Dentist
Female,0.56,Surgeon
Female,0.56,Accountant
Female,0.56,Airline Pilot
Female,0.56,Graphic Designer
Female,0.56,Data Scientist
Female,0.56,Administrative Assistant
Female,0.56,Bookkeeper
Female,0.56,Sales Representative
Female,0.56,Real Estate Agent
Female,0.56,Chief Operating Officer
Female,0.56,Plumber
Female,0.56,Human Resources Manager
Female,0.55,Database Administrator
Female,0.55,Guidance Counselor
Female,0.55,Financial Analyst
Female,0.55,Architect
Female,0.55,School Principal
Female,0.55,Property Manager
Female,0.55,Biomedical Researcher
Female,0.55,Brand Manager
Female,0.55,Executive Assistant
Female,0.55,University Professor
Female,0.55,Licensed Practical Nurse
Female,0.55,Occupational Therapist
Female,0.55,Electrical Engineer
Female,0.55,Compliance Officer
Female,0.55,Electrician
Female,0.55,Portfolio Manager
Female,0.55,Cybersecurity Analyst
Female,0.55,Environmental Scientist
Female,0.55,Credit Analyst
Female,0.55,Public Relations Specialist
Female,0.55,Physical Therapist
Female,0.54,Chief Executive Officer
Female,0.54,Loan Officer
Female,0.54,Truck Driver
Female,0.54,Restaurant Manager
Female,0.54,Social Media Manager
Female,0.54,Frontend Developer
Female,0.54,Legal Secretary
Female,0.54,Marketing Coordinator
Female,0.54,Retail Store Manager
Female,0.54,Chief Marketing Officer
Female,0.54,Scrum Master
Female,0.54,Hedge Fund Manager
Female,0.54,Software Engineer
Female,0.54,Medical Receptionist
Female,0.54,Aerospace Engineer
Female,0.54,Urban Planner
Female,0.54,Radiologist
Female,0.54,Market Research Analyst
Female,0.53,Tax Advisor
Female,0.53,Hotel General Manager
Female,0.53,Pharmacy Technician
Female,0.53,Mechanical Engineer
Female,0.53,Chief Financial Officer
Female,0.53,Event Planner
Female,0.53,Insurance Underwriter
Female,0.53,Quantitative Analyst
Female,0.53,Logistics Coordinator
Female,0.52,Civil Engineer
Female,0.52,Warehouse Supervisor
Female,0.52,Chemical Engineer
Female,0.52,Paralegal
Female,0.52,Operations Research Analyst
Female,0.52,Substance Abuse Counselor
Female,0.52,DevOps Engineer
Female,0.52,IT Support Specialist
Female,0.52,Investment Banker
Female,0.51,Chief Technology Officer
Female,0.51,Payroll Specialist
Female,0.51,Construction Manager
Female,0.5,Line Cook
Female,0.5,Supply Chain Manager
Male,0.59,Veterinarian
Male,0.59,Editor
Male,0.59,Psychologist
Male,0.58,High School Teacher
Male,0.58,Judge
Male,0.58,Chef
Male,0.58,Mathematician
Male,0.58,Attorney
Male,0.58,Actuary
Male,0.57,Cashier
Male,0.57,Plumber
Male,0.57,Sales Representative
Male,0.57,Accountant
Male,0.57,Flight Attendant
Male,0.57,Librarian
Male,0.57,Airline Pilot
Male,0.57,Electrician
Male,0.57,Guidance Counselor
Male,0.57,General Practitioner
Male,0.57,Journalist
Male,0.57,Surgeon
Male,0.56,Chief Executive Officer
Male,0.56,Copywriter
Male,0.56,Recruiter
Male,0.56,Statistician
Male,0.56,Electrical Engineer
Male,0.56,Truck Driver
Male,0.56,Pharmacist
Male,0.56,Mechanical Engineer
Male,0.56,Loan Officer
Male,0.56,Dentist
Male,0.56,Registered Nurse
Male,0.56,Architect
Male,0.56,Office Receptionist
Male,0.56,School Principal
Male,0.56,Data Scientist
Male,0.55,Database Administrator
Male,0.55,Product Manager
Male,0.55,Property Manager
Male,0.55,Social Worker
Male,0.55,Brand Manager
Male,0.55,Biomedical Researcher
Male,0.55,Chemical Engineer
Male,0.55,Aerospace Engineer
Male,0.55,Financial Analyst
Male,0.55,Line Cook
Male,0.55,UX Designer
Male,0.55,Cybersecurity Analyst
Male,0.55,Civil Engineer
Male,0.55,Hotel General Manager
Male,0.55,Pharmacy Technician
Male,0.55,Portfolio Manager
Male,0.54,Bookkeeper
Male,0.54,Public Relations Specialist
Male,0.54,Paralegal
Male,0.54,Radiologist
Male,0.54,University Professor
Male,0.54,Frontend Developer
Male,0.54,Hedge Fund Manager
Male,0.54,Dental Hygienist
Male,0.54,Event Planner
Male,0.54,Elementary School Teacher
Male,0.54,Software Engineer
Male,0.54,Real Estate Agent
Male,0.54,Scrum Master
Male,0.54,Physical Therapist
Male,0.54,Urban Planner
Male,0.54,Environmental Scientist
Male,0.54,Marketing Coordinator
Male,0.54,Chief Financial Officer
Male,0.54,Licensed Practical Nurse
Male,0.54,Market Research Analyst
Male,0.54,Administrative Assistant
Male,0.53,Graphic Designer
Male,0.53,Retail Store Manager
Male,0.53,Social Media Manager
Male,0.53,Chief Marketing Officer
Male,0.53,Chief Operating Officer
Male,0.53,Human Resources Manager
Male,0.53,Compliance Officer
Male,0.53,Credit Analyst
Male,0.53,Tax Advisor
Male,0.53,Executive Assistant
Male,0.53,Restaurant Manager
Male,0.53,Investment Banker
Male,0.53,Quantitative Analyst
Male,0.53,Occupational Therapist
Male,0.53,Supply Chain Manager
Male,0.53,Substance Abuse Counselor
Male,0.52,Medical Receptionist
Male,0.52,DevOps Engineer
Male,0.52,Operations Research Analyst
Male,0.52,Warehouse Supervisor
Male,0.52,Legal Secretary
Male,0.52,IT Support Specialist
Male,0.52,Chief Technology Officer
Male,0.52,Logistics Coordinator
Male,0.51,Insurance Underwriter
Male,0.51,Construction Manager
Male,0.5,Payroll Specialist
He,0.63,Chef
He,0.61,Editor
He,0.6,Attorney
He,0.59,Journalist
He,0.59,Software Engineer
He,0.59,High School Teacher
He,0.59,Hedge Fund Manager
He,0.59,Judge
He,0.59,Architect
He,0.59,Recruiter
He,0.58,Surgeon
He,0.58,Mathematician
He,0.58,Veterinarian
He,0.58,Psychologist
He,0.58,Plumber
He,0.58,Truck Driver
He,0.58,Real Estate Agent
He,0.58,Actuary
He,0.58,Copywriter
He,0.58,Loan Officer
He,0.58,Chief Executive Officer
He,0.57,Electrician
He,0.57,Social Worker
He,0.57,Data Scientist
He,0.57,Dentist
He,0.57,Financial Analyst
He,0.57,Aerospace Engineer
He,0.57,School Principal
He,0.57,Accountant
He,0.57,Pharmacist
He,0.57,Librarian
He,0.57,University Professor
He,0.56,Chemical Engineer
He,0.56,Statistician
He,0.56,Cashier
He,0.56,Civil Engineer
He,0.56,Registered Nurse
He,0.56,IT Support Specialist
He,0.56,Flight Attendant
He,0.56,Chief Operating Officer
He,0.56,Public Relations Specialist
He,0.56,UX Designer
He,0.56,Brand Manager
He,0.56,Elementary School Teacher
He,0.56,Guidance Counselor
He,0.56,Environmental Scientist
He,0.56,Airline Pilot
He,0.56,Bookkeeper
He,0.56,Scrum Master
He,0.56,Administrative Assistant
He,0.56,Product Manager
He,0.56,Event Planner
He,0.56,Electrical Engineer
He,0.55,Investment Banker
He,0.55,Mechanical Engineer
He,0.55,Compliance Officer
He,0.55,Physical Therapist
He,0.55,Property Manager
He,0.55,Office Receptionist
He,0.55,Human Resources Manager
He,0.55,Retail Store Manager
He,0.55,Sales Representative
He,0.55,Chief Financial Officer
He,0.55,Database Administrator
He,0.55,Marketing Coordinator
He,0.55,Cybersecurity Analyst
He,0.55,Urban Planner
He,0.54,General Practitioner
He,0.54,Graphic Designer
He,0.54,Logistics Coordinator
He,0.54,Executive Assistant
He,0.54,Dental Hygienist
He,0.54,Paralegal
He,0.54,DevOps Engineer
He,0.54,Line Cook
He,0.54,Market Research Analyst
He,0.54,Frontend Developer
He,0.54,Quantitative Analyst
He,0.54,Occupational Therapist
He,0.54,Social Media Manager
He,0.54,Portfolio Manager
He,0.54,Radiologist
He,0.54,Insurance Underwriter
He,0.54,Tax Advisor
He,0.54,Payroll Specialist
He,0.54,Licensed Practical Nurse
He,0.54,Operations Research Analyst
He,0.54,Restaurant Manager
He,0.54,Chief Marketing Officer
He,0.53,Hotel General Manager
He,0.53,Biomedical Researcher
He,0.53,Chief Technology Officer
He,0.53,Warehouse Supervisor
He,0.53,Credit Analyst
He,0.53,Legal Secretary
He,0.53,Construction Manager
He,0.52,Supply Chain Manager
He,0.52,Pharmacy Technician
He,0.51,Substance Abuse Counselor
He,0.5,Medical Receptionist
Her,0.6,Chef
Her,0.58,UX Designer
Her,0.58,Administrative Assistant
Her,0.58,Cashier
Her,0.57,Attorney
Her,0.57,Editor
Her,0.57,Surgeon
Her,0.57,Psychologist
Her,0.57,High School Teacher
Her,0.57,Librarian
Her,0.57,Product Manager
Her,0.57,Electrical Engineer
Her,0.57,Executive Assistant
Her,0.57,Data Scientist
Her,0.56,IT Support Specialist
Her,0.56,Flight Attendant
Her,0.56,University Professor
Her,0.56,Guidance Counselor
Her,0.56,Social Worker
Her,0.56,Journalist
Her,0.56,Veterinarian
Her,0.56,Copywriter
Her,0.56,Recruiter
Her,0.56,Elementary School Teacher
Her,0.56,Airline Pilot
Her,0.56,Plumber
Her,0.56,Urban Planner
Her,0.56,Electrician
Her,0.56,Real Estate Agent
Her,0.56,Registered Nurse
Her,0.56,Judge
Her,0.56,Software Engineer
Her,0.56,Human Resources Manager
Her,0.56,Architect
Her,0.56,Bookkeeper
Her,0.55,Mathematician
Her,0.55,Accountant
Her,0.55,Actuary
Her,0.55,Scrum Master
Her,0.55,Brand Manager
Her,0.55,School Principal
Her,0.55,Office Receptionist
Her,0.55,Aerospace Engineer
Her,0.55,Licensed Practical Nurse
Her,0.55,Biomedical Researcher
Her,0.55,Statistician
Her,0.55,Truck Driver
Her,0.55,Event Planner
Her,0.55,Property Manager
Her,0.55,Civil Engineer
Her,0.54,Public Relations Specialist
Her,0.54,Retail Store Manager
Her,0.54,Dental Hygienist
Her,0.54,Social Media Manager
Her,0.54,Sales Representative
Her,0.54,Marketing Coordinator
Her,0.54,Chemical Engineer
Her,0.54,Database Administrator
Her,0.54,Physical Therapist
Her,0.54,Paralegal
Her,0.54,Dentist
Her,0.54,Legal Secretary
Her,0.54,Hedge Fund Manager
Her,0.54,Occupational Therapist
Her,0.54,Credit Analyst
Her,0.54,Compliance Officer
Her,0.54,General Practitioner
Her,0.54,Mechanical Engineer
Her,0.54,Quantitative Analyst
Her,0.54,Logistics Coordinator
Her,0.54,Portfolio Manager
Her,0.54,Loan Officer
Her,0.54,Cybersecurity Analyst
Her,0.54,Financial Analyst
Her,0.54,Pharmacist
Her,0.54,Chief Operating Officer
Her,0.54,Environmental Scientist
Her,0.53,Market Research Analyst
Her,0.53,Graphic Designer
Her,0.53,Insurance Underwriter
Her,0.53,Chief Executive Officer
Her,0.53,Supply Chain Manager
Her,0.53,Operations Research Analyst
Her,0.53,Restaurant Manager
Her,0.53,Tax Advisor
Her,0.53,Chief Marketing Officer
Her,0.53,Chief Technology Officer
Her,0.53,DevOps Engineer
Her,0.53,Construction Manager
Her,0.53,Frontend Developer
Her,0.52,Medical Receptionist
Her,0.52,Radiologist
Her,0.52,Warehouse Supervisor
Her,0.52,Chief Financial Officer
Her,0.52,Line Cook
Her,0.52,Pharmacy Technician
Her,0.52,Payroll Specialist
Her,0.52,Hotel General Manager
Her,0.51,Substance Abuse Counselor
Her,0.5,Investment Banker
She,0.63,Chef
She,0.59,High School Teacher
She,0.59,Surgeon
She,0.59,Journalist
She,0.58,University Professor
She,0.58,Plumber
She,0.58,Recruiter
She,0.58,Editor
She,0.58,Office Receptionist
She,0.58,Psychologist
She,0.58,Cashier
She,0.58,Registered Nurse
She,0.58,Pharmacist
She,0.58,Real Estate Agent
She,0.58,Mathematician
She,0.57,Electrician
She,0.57,Electrical Engineer
She,0.57,Actuary
She,0.57,Truck Driver
She,0.57,Veterinarian
She,0.57,Brand Manager
She,0.57,Accountant
She,0.57,Loan Officer
She,0.57,Architect
She,0.57,Elementary School Teacher
She,0.57,Software Engineer
She,0.56,Attorney
She,0.56,Flight Attendant
She,0.56,Dentist
She,0.56,Judge
She,0.56,Librarian
She,0.56,Sales Representative
She,0.56,Social Worker
She,0.56,Statistician
She,0.56,Copywriter
She,0.56,School Principal
She,0.56,General Practitioner
She,0.55,Mechanical Engineer
She,0.55,Bookkeeper
She,0.55,Chief Marketing Officer
She,0.55,Chemical Engineer
She,0.55,Public Relations Specialist
She,0.55,UX Designer
She,0.55,Restaurant Manager
She,0.55,Data Scientist
She,0.55,Human Resources Manager
She,0.55,Marketing Coordinator
She,0.55,Physical Therapist
She,0.55,Legal Secretary
She,0.55,Portfolio Manager
She,0.54,Medical Receptionist
She,0.54,Guidance Counselor
She,0.54,Retail Store Manager
She,0.54,Hedge Fund Manager
She,0.54,Licensed Practical Nurse
She,0.54,Administrative Assistant
She,0.54,Product Manager
She,0.54,Aerospace Engineer
She,0.54,Civil Engineer
She,0.54,Dental Hygienist
She,0.54,Frontend Developer
She,0.54,Scrum Master
She,0.54,Construction Manager
She,0.54,Property Manager
She,0.54,Biomedical Researcher
She,0.54,Graphic Designer
She,0.53,Compliance Officer
She,0.53,Paralegal
She,0.53,Urban Planner
She,0.53,Warehouse Supervisor
She,0.53,Chief Financial Officer
She,0.53,Executive Assistant
She,0.53,Chief Executive Officer
She,0.53,Database Administrator
She,0.53,Line Cook
She,0.53,Cybersecurity Analyst
She,0.53,IT Support Specialist
She,0.53,Environmental Scientist
She,0.53,Logistics Coordinator
She,0.53,Supply Chain Manager
She,0.53,Airline Pilot
She,0.52,Tax Advisor
She,0.52,Hotel General Manager
She,0.52,Event Planner
She,0.52,DevOps Engineer
She,0.52,Pharmacy Technician
She,0.52,Occupational Therapist
She,0.52,Payroll Specialist
She,0.52,Credit Analyst
She,0.52,Radiologist
She,0.52,Financial Analyst
She,0.52,Quantitative Analyst
She,0.52,Investment Banker
She,0.52,Social Media Manager
She,0.51,Chief Operating Officer
She,0.51,Operations Research Analyst
She,0.51,Insurance Underwriter
She,0.5,Market Research Analyst
She,0.5,Chief Technology Officer
She,0.49,Substance Abuse Counselor
His,0.6,High School Teacher
His,0.6,Real Estate Agent
His,0.6,Chef
His,0.59,Surgeon
His,0.58,Mathematician
His,0.58,Veterinarian
His,0.58,Hedge Fund Manager
His,0.58,Attorney
His,0.58,Psychologist
His,0.58,Actuary
His,0.57,Pharmacist
His,0.57,University Professor
His,0.57,Judge
His,0.57,Truck Driver
His,0.57,Copywriter
His,0.57,Editor
His,0.57,Journalist
His,0.57,Architect
His,0.57,Financial Analyst
His,0.57,Plumber
His,0.57,Chemical Engineer
His,0.57,Data Scientist
His,0.57,Recruiter
His,0.57,Librarian
His,0.57,Dentist
His,0.57,Civil Engineer
His,0.56,Electrician
His,0.56,Chief Executive Officer
His,0.56,Cashier
His,0.56,Software Engineer
His,0.56,Airline Pilot
His,0.56,UX Designer
His,0.56,Flight Attendant
His,0.56,Brand Manager
His,0.56,Executive Assistant
His,0.56,Statistician
His,0.56,Accountant
His,0.56,Environmental Scientist
His,0.56,Registered Nurse
His,0.55,Product Manager
His,0.55,School Principal
His,0.55,Human Resources Manager
His,0.55,Portfolio Manager
His,0.55,Bookkeeper
His,0.55,Property Manager
His,0.55,Dental Hygienist
His,0.55,Public Relations Specialist
His,0.55,Urban Planner
His,0.55,Sales Representative
His,0.55,Warehouse Supervisor
His,0.55,Chief Financial Officer
His,0.55,Radiologist
His,0.55,Quantitative Analyst
His,0.55,Database Administrator
His,0.55,Administrative Assistant
His,0.55,Hotel General Manager
His,0.55,Frontend Developer
His,0.54,Mechanical Engineer
His,0.54,Office Receptionist
His,0.54,Chief Technology Officer
His,0.54,Physical Therapist
His,0.54,Paralegal
His,0.54,DevOps Engineer
His,0.54,Aerospace Engineer
His,0.54,Restaurant Manager
His,0.54,Guidance Counselor
His,0.54,Loan Officer
His,0.54,Investment Banker
His,0.54,Social Worker
His,0.54,Compliance Officer
His,0.54,Scrum Master
His,0.54,Elementary School Teacher
His,0.54,Chief Marketing Officer
His,0.54,Event Planner
His,0.54,Electrical Engineer
His,0.54,Legal Secretary
His,0.54,Market Research Analyst
His,0.54,Retail Store Manager
His,0.54,Biomedical Researcher
His,0.53,Chief Operating Officer
His,0.53,General Practitioner
His,0.53,Tax Advisor
His,0.53,Construction Manager
His,0.53,Insurance Underwriter
His,0.53,Graphic Designer
His,0.53,Occupational Therapist
His,0.53,Payroll Specialist
His,0.53,Pharmacy Technician
His,0.53,Cybersecurity Analyst
His,0.53,IT Support Specialist
His,0.53,Marketing Coordinator
His,0.52,Social Media Manager
His,0.52,Operations Research Analyst
His,0.52,Credit Analyst
His,0.51,Line Cook
His,0.51,Licensed Practical Nurse
His,0.51,Logistics Coordinator
His,0.51,Supply Chain Manager
His,0.51,Substance Abuse Counselor
His,0.5,Medical Receptionist
